ODB-Rank,Country,ISO2,ODB-Score,Readiness,Implementation,Impact,ODB-Scaled,Readiness-Scaled,Implementation-Scaled,Impact-Scaled,,Sub-components:,Readiness_Government,Readiness_Government-Scaled,Readiness_Citizens,Readiness_Citizens-Scaled,Readiness_Entrepreneurs,Readiness_Entrepreneurs-Scaled,Readiness-Rank,,Datasets_Innovation,Datasets_Social_Policy,Datasets_Accountability,Datasets_Average,Datasets_Normalised,,Implementation,Implementation-Scaled,Implementation-Rank,Impact_Political,Impact_Political-Scaled,Impact_Social,Impact_Social-Scaled,Impact_Economic,Impact_Economic-Scaled,,Classifications:,Region,HDI,HDI-Rank
1,United Kingdom,GB,0.48,0.501000286,3.094334792,0.708617919,100,100,100,80,,,1.592065164,99,1.173804402,93,1.743133006,97,1,,93.75,96,95,95,3.094334792,,3.094334792,100,1,2.021665362,80,1.699024636,52,2.656871277,92,,,Europe,0.875368403,Very High
2,United States,US,0.43,0.455578141,2.485788481,0.940939121,93.38,95,87,100,,,1.623851724,100,0.889011645,83,1.587339898,92,2,,86.25,90,73,82.85714286,2.485788481,,2.485788481,87,2,1.829507851,75,3.686162766,100,2.952781473,100,,,Americas,0.937142347,Very High
3,Sweden,SE,0.38,0.454989767,2.324702693,0.616661215,85.75,95,83,72,,,1.421850717,94,0.999929783,87,1.673127403,95,3,,87.5,67,86,79.64285714,2.324702693,,2.324702693,83,3,1.253947167,58,2.490068479,71,1.805935292,68,,,Europe,0.916179437,Very High
4,New Zealand,NZ,0.3,0.327269345,1.519273753,0.823152356,74.34,82,65,90,,,0.747940213,74,1.174088548,93,1.023395347,74,9,,63.75,75,52,63.57142857,1.519273753,,1.519273753,65,7,2.724723153,100,2.581802567,73,2.101845488,77,,,Asia Pacific,0.918843229,Very High
5,Denmark,DK,0.28,0.343234953,1.734054804,0.429057816,71.78,84,70,56,,,0.926648579,79,0.998313186,87,1.164152812,79,8,,67.5,66,70,67.85714286,1.734054804,,1.734054804,70,5,1.829507851,75,0.521987395,24,1.510025096,60,,,Europe,0.90138556,Very High
5,Norway,NO,0.28,0.423161521,1.769851645,0.318372729,71.86,92,71,46,,,1.043808021,83,0.928037878,85,1.836607794,100,4,,87.5,67,55,68.57142857,1.769851645,,1.769851645,71,4,0.870543994,47,0.411196261,21,1.583614303,62,,,Europe,0.955202335,Very High
7,Australia,AU,0.25,0.384833008,1.483476911,0.376648019,67.68,88,65,51,,,1.366954877,92,0.989056297,87,1.107485902,77,6,,85,57,51,62.85714286,1.483476911,,1.483476911,65,8,1.509853232,65,1.110506016,38,0.769472921,40,,,Asia Pacific,0.93798457,Very High
8,Canada,CA,0.24,0.300762747,1.447680069,0.38123051,65.87,79,64,52,,,1.231010373,88,0.917830617,84,0.558023735,60,11,,87.5,57,47,62.14285714,1.447680069,,1.447680069,64,10,1.509853232,65,0.411196261,21,1.510025096,60,,,Americas,0.911154831,Very High
9,Germany,DE,0.23,0.256564549,1.411883227,0.406842816,65.01,75,63,54,,,0.571751129,68,0.972061183,86,0.765268625,66,14,,76.25,54,57,61.42857143,1.411883227,,1.411883227,63,11,1.446104678,64,0.705455571,28,1.510025096,60,,,Europe,0.920098308,Very High
10,France,FR,0.22,0.303461097,1.46557849,0.236467473,63.92,79,64,39,,,1.040921966,83,1.043286863,89,0.646941039,62,10,,86.25,61,45,62.5,1.46557849,,1.46557849,64,9,0.487140822,36,1.018771928,36,0.622294507,36,,,Europe,0.893086527,Very High
10,Netherlands,NL,0.22,0.366010432,1.590867436,0.032432431,63.66,86,67,21,,,1.145050908,86,0.910190325,84,1.238852652,81,7,,80,57,61,65,1.590867436,,1.590867436,67,6,-0.153080265,18,-0.17732236,7,0.622294507,36,,,Europe,0.921019189,Very High
12,"Korea, Republic of",KR,0.15,0.282373568,1.036016389,0.068686403,54.21,77,55,25,,,1.096985062,84,0.360747218,65,1.083629832,76,12,,52.5,50,59,53.92857143,1.036016389,,1.036016389,55,12,0.358731865,33,-0.17732236,7,0.436768122,31,,,Asia Pacific,0.908503574,Very High
